timestep,MFN-A2C + DSR,MFN-A2C + PV,A2C + DSR,A2C + PV
134,9282.429637947303,9213.660148100984,9286.048560488558,9307.889610130636
135,9254.577360966889,9159.872148255232,9261.246669357612,9277.11018010753
136,9255.832305691254,9171.165603662084,9261.94790794918,9277.43462830628
137,9233.733321562995,9142.539282853802,9240.204332138215,9254.819179217904
138,9166.275081102154,9085.74178695561,9165.629231795056,9187.3704767145
139,9142.618526400172,9053.361745578302,9136.119569888357,9164.916103415915
140,9130.784409675654,9064.009684692275,9122.44678511521,9156.642912671285
141,9235.969848203144,9192.150883633529,9224.683829161831,9264.189120821631
142,9204.74248250886,9167.474537210146,9194.385579354914,9236.398379774802
143,9192.322674058656,9149.199715627386,9183.24494166071,9223.470793448229
144,9244.854648200037,9212.814586927168,9233.095592586917,9277.30927893118
145,9290.066185062027,9268.704789156964,9274.750372364742,9322.9546420785
146,9298.800742061148,9267.538232672192,9279.24655751326,9328.277746491784
147,9446.501617944485,9455.677501623411,9423.151389101944,9472.996089935072
148,9389.78943968284,9383.66903638014,9365.864589275934,9414.808930647603
149,9391.964362591849,9385.860166085642,9366.469820003187,9416.182382429184
150,9285.361105754168,9243.678509486106,9257.14802808538,9310.107289738964
151,9242.476751691813,9202.151170435543,9211.96978089078,9267.562720149712
152,9261.599223523544,9211.681351935842,9228.987102089464,9286.929023154133
153,9437.362241484368,9358.584563178702,9398.80290294016,9462.79602994298
154,9478.3602620934,9400.973661278962,9439.829504062847,9510.244445755668
155,9099.02655734016,8989.133060608297,9070.785339652111,9119.515515893649
156,9225.277385881976,9144.633770179604,9192.402522261116,9247.238263510711
157,9214.289949301212,9118.766479493335,9180.717782608168,9236.476963810372
158,9143.316866861933,9021.676308592365,9114.183795564151,9165.846084522513
159,9070.907894807622,8938.009952880564,9042.012921117035,9088.848919942511
160,9088.061004678304,8965.01202548276,9057.978850042064,9106.499393797883
161,9190.080894646471,9074.94121465136,9157.661079624317,9213.521899981812
162,9153.266885781584,9024.183316296794,9124.665720336756,9178.036439745169
163,9255.439296657669,9131.090003596728,9224.681244096497,9281.927825007258
164,9110.02306996086,8968.156871213132,9075.576914780935,9136.111754359174
165,9184.746998733632,9048.270946420991,9149.431314222003,9211.407339339636
166,9236.502754784246,9102.866013437697,9201.679793410189,9261.665377015135
167,9243.299658595466,9120.410451227905,9208.53836234734,9270.230408218313
168,9228.081227307604,9097.447994233906,9194.68601351266,9254.502770869014
169,9215.615430165872,9093.687574358675,9182.493460172103,9238.870037126166
170,9202.003005471428,9083.209673413048,9166.643016298302,9225.768180367084
171,9111.069258052416,8978.678550621627,9073.259661119358,9133.027377538425
172,9108.1856229234,8971.08367074582,9071.745978992838,9129.351512507004
173,9171.761169165244,9045.754747750663,9132.24038928541,9190.23259118714
174,9159.800195615124,9040.854580938336,9117.547137444431,9180.577933997023
175,9121.489449507102,8997.017895718005,9077.120592102625,9140.85318320349
176,9092.942827455574,8964.1590317972,9049.98547765761,9114.180703976454
177,8978.46617002207,8821.817457692188,8944.420893013315,8999.71452869477
178,8561.858074840675,8316.151477019268,8544.102782068718,8594.83116694781
179,8420.617507045446,8165.004831949699,8403.529340837495,8455.608984203813
180,8283.388724194225,8014.769641038502,8276.671863474397,8321.98978074621
181,7981.170248128629,7658.273477680177,7983.862184687677,8029.038291574368
182,8136.479458741491,7807.061189582041,8138.287509286979,8181.266476311231
183,8367.716248647852,8084.986209982436,8372.346420401584,8408.60480322117
184,8368.763377581285,8080.520773341725,8369.986241421937,8412.737263673389
185,8409.105954912127,8107.831857077516,8415.594218994525,8448.873171193016
186,8505.683841334925,8234.009828246511,8508.663986766678,8545.481143623296
187,8465.246374136172,8187.445072484326,8468.513153082777,8507.759690198984
188,8546.718160798084,8272.3623830946,8542.579175750014,8585.674418640818
189,8401.275882191614,8099.049431133283,8403.550907577897,8455.006732978789
