timestep,MFN-A2C,A2C,Buy-and-Hold
373,10641.30684836395,10420.172963858748,9368.803893986613
374,10647.118276943773,10423.746602630164,9285.106545223884
375,10589.236574384777,10371.691051303704,9337.713131286388
376,10642.374357003517,10423.680037530874,9420.71405340895
377,10778.131336944758,10571.493036936688,9702.50317034013
378,10828.504906082082,10612.73020352688,9719.773244771735
379,10908.518867029072,10690.952267169012,9771.415165183846
380,10776.554203791464,10561.967056037303,9737.97143153549
381,10845.585183567438,10628.184424815594,9629.217567839934
382,10942.489419626265,10723.82856129748,9547.69215911351
383,11127.491356048758,10907.078261025245,9651.243884208949
384,11049.686480930555,10829.47409939442,9904.683190950183
385,10877.572821474036,10670.78765485784,9966.220265962682
386,10987.291856709575,10769.422166074206,9998.719670849969
387,10843.14075876604,10644.953312773134,10203.150123839803
388,10915.2586464808,10707.356943106195,10283.222614474797
389,10902.37114711544,10694.17902967011,10535.651624663024
390,10941.199079085623,10728.429046341416,10478.068051873655
391,11026.627377045294,10807.813224737754,10813.199384051946
392,11040.09399993411,10839.546443822454,10816.886033352126
393,10896.48531264161,10700.882619045502,10744.959679352853
394,10874.406725788887,10672.541732408752,10809.340922949936
395,10973.396595664475,10770.41649035483,10980.2844485692
396,10746.41710664094,10557.24963835803,11033.601755752365
397,10879.011684546998,10684.39647892835,11132.314048559903
398,10968.221589790888,10760.606245972944,10971.2482775974
399,10981.0701195635,10772.878882171,11056.073852684765
400,11211.28140579729,10984.30252989446,11176.803267413718
401,11165.58943296594,10941.0079075441,11414.792936808768
402,11120.806445770286,10900.017839886374,11312.81799844041
403,11127.83061143616,10911.365178799942,11098.527903075814
404,11079.356046511239,10855.944942285689,11241.116010887972
405,10968.65788100856,10752.582060068717,11058.710439467017
406,10977.514315252516,10761.507691463406,11151.002179353742
407,11002.147410725513,10788.986294836966,11135.018479390035
408,10911.207397466287,10702.66589390694,11181.246507602064
409,10756.398565611447,10548.175562422028,11288.462325003868
410,10875.323267207796,10662.153136678611,11301.885197951951
411,10914.214664118914,10703.14200035408,11117.553662201854
412,10899.830434921574,10694.01544635396,11081.0439997318
413,10920.9568888262,10712.17647496701,11203.824794096205
414,11010.88229290455,10801.991882880107,10920.32223532116
415,10991.468283989836,10780.244813583226,11082.998909233884
416,11028.617828424123,10817.91396853664,11200.120866730516
417,11022.159857019687,10808.990585521857,11226.409345585276
418,10990.30086355405,10777.11462715602,11519.605887374271
419,10894.63091461105,10688.764948667951,11461.559718383998
420,10845.375721892317,10641.285614070162,11399.193171923802
421,10869.308084306469,10666.153089448717,11404.903694327577
422,10808.454443210152,10615.428906682544,11348.780896172151
423,10768.695019582614,10578.129163610654,11213.674778648689
424,10740.474426617826,10549.330528227092,11224.328625483924
425,10734.11390617118,10542.836739718645,11253.5017820165
426,10756.064542823528,10565.681571674637,11138.213094203797
427,10858.839868862382,10665.283067250177,10950.799646151534
428,10838.941376790786,10645.355477167455,11092.979738110267
429,11052.834422441883,10841.86658341683,11143.023223341102
430,10711.287107649148,10544.971427022729,11116.46016242843
431,10975.622970822344,10787.691652424097,11146.36334990048
432,10691.424661733854,10527.628245193182,11257.404980626476
433,10667.837410556176,10506.34052593884,11235.963676312796
434,10681.22045406356,10521.48104584313,11279.560550298218
435,10823.82194057367,10663.032016844676,11267.959104334339
436,10927.61298463894,10757.27628303095,11230.587459134029
437,10920.22695810215,10750.461253046376,11107.88350375292
438,10940.383984803531,10767.174200649762,11041.347752991505
439,10804.880194651938,10631.359373047071,11066.209502217414
440,10769.974245700269,10597.740616732992,10994.14622758551
441,10757.876323991171,10582.401838096148,10948.590489039281
442,10813.57132477965,10633.404422172112,10918.50235521405
443,10853.625027009051,10669.29476201486,10911.770866530853
444,10899.74886455252,10712.631776080267,10939.007883730828
445,10887.074211516008,10698.239177452871,11063.261691520202
446,10898.619868346483,10710.151877266124,11039.365390123
447,11029.423734537146,10842.610397620932,11303.52744025373
448,10993.526375040508,10805.562011763812,10873.55602118779
449,11073.831744345072,10886.15986028175,11204.53660680606
450,11282.28125920036,11090.635197694428,10843.95027050538
451,11252.894279014174,11062.083087275618,10819.74117394068
452,11264.808977985587,11075.03418614124,10835.616246278632
453,11283.514571055484,11095.411610507132,11016.145198852391
454,11263.242545972123,11076.13617213484,11145.41777749453
455,11332.382659006918,11145.596843168843,11140.334991228265
456,11418.726714222485,11229.046092376338,11169.933861322424
457,11286.870402919822,11111.72060469448,11014.055689571582
458,11088.47802693199,10919.756684349764,10971.345120138178
459,11102.661259461647,10935.941850569949,10953.695087993054
460,11082.470139043937,10918.86098211322,11034.749064397362
461,10919.41625328005,10755.005971136296,11081.37989036343
462,11019.50050889487,10854.16670509346,11140.219849892625
463,11011.44163936972,10845.289675983684,11123.293943260724
464,11095.541760484612,10923.94330757525,11133.000057715592
465,11074.797814512562,10902.796415407574,11303.754897695622
466,11080.294968101274,10907.470434423434,11253.387015196497
467,10980.327809305309,10809.095866413509,11356.64165847208
468,10967.97077540906,10797.197795639431,11620.707224563555
469,10919.23307594677,10754.361841870896,11583.398459591986
470,10896.384505946742,10732.77494266264,11603.718855749774
471,10903.698270462346,10738.44516022512,11623.56520682556
472,10951.982318736287,10783.001104931169,11593.868248976709
473,11027.912981394536,10853.836599756916,11681.568240802138
474,11077.40402296353,10901.40115017098,11782.464509924352
475,11125.177476365274,10945.82375964951,11617.823456509148
476,11103.955488494654,10924.549814739123,11361.555465394766
477,11117.777444913474,10937.91608428991,11375.278419434802
478,11011.572917310265,10832.869502045727,11347.295788637572
479,11049.977126966556,10871.278092829903,11146.894732530523
480,11013.75831963384,10834.995055638887,11271.885805534504
481,11124.979349690188,10942.769369557427,11259.630733630467
482,11168.363582816552,10985.473016525792,11367.67460142497
483,11241.396314897793,11057.245707269523,11341.605784451269
