timestep,Proposed Method,A2C,DQN,Buy and Hold
659,10553.516158247368,10367.480198526791,10135.163304839258,10074.30826381092
660,10647.288569163176,10461.838340042448,10174.853060413509,10100.068714776997
661,10652.484828879144,10464.819504409948,10214.271955452596,10192.884448635188
662,10584.321497508088,10400.590029127028,10166.475371346269,10134.0772712226
663,10567.173872588868,10384.346614399186,10174.520340664483,10164.2310963507
664,10579.550924407518,10396.410164563002,10177.51748628313,10365.180808073916
665,10523.769185033678,10342.688228986066,10131.9293252914,10633.265651187829
666,10600.557830415772,10414.500446562271,10188.401856973429,10592.976308062722
667,10559.33004164536,10375.688990728797,10154.01355561627,10581.583160979351
668,10565.062792129258,10380.88592221855,10164.833636909672,10602.559218764747
669,10564.382366166641,10380.641104201151,10181.839849184053,10643.94479762438
670,10524.517625287335,10343.018845027396,10161.36940807002,10665.91923781148
671,10557.839547855485,10370.744695199544,10248.35295255158,10708.65166586631
672,10564.555260249694,10375.824428992992,10248.35295261819,10729.627809531845
673,10591.889834457535,10402.138845491549,10248.352952889483,10734.24430839683
674,10585.122877594084,10396.073088068277,10238.215635280158,10724.468112589751
675,10621.984506050569,10430.753001715608,10242.175525307532,10664.316765704243
676,10614.874661725977,10425.9516532928,10257.223105960977,10755.98107386809
677,10620.694080434438,10431.755818590274,10273.696247022104,10716.870613676563
678,10615.609293582604,10426.898769074614,10274.646620488633,10835.953860617052
679,10640.496944754092,10450.969078442393,10274.646620735675,10839.889561787177
680,10687.575786243053,10497.82812048294,10274.646621208096,10752.638594110716
681,10640.69443520496,10448.425845701047,10274.646620738213,10731.286567423389
682,10639.60063626864,10446.062138709098,10269.263909144998,10746.592657195935
683,10760.207414305503,10557.947546300144,10368.052499333264,10676.739937441418
684,10749.25766448488,10549.716919317289,10368.052499228239,10770.333036560049
685,10690.860391269956,10492.512463124853,10355.080964422104,10720.228638491455
686,10646.4826662142,10452.101555203186,10355.080963983432,10730.955927628123
687,10678.634975644998,10482.952452100157,10392.597652574488,10731.561200255946
688,10755.443536855975,10557.471542075187,10392.597653336385,10677.61512722581
689,10682.42741508054,10487.632450726554,10353.66698251596,10716.2299167919
690,10695.952168009451,10500.443597792419,10353.666982649356,10723.203418314808
691,10673.23947539884,10477.173792020229,10353.666982416577,10757.5215516502
692,10618.971803928896,10425.97584681758,10327.542549067693,10747.492803642515
693,10529.602460230351,10340.891092899205,10227.794713824533,10787.246626485923
694,10487.27900184061,10305.163688205876,10222.56982684457,10778.076082259304
695,10479.514523173733,10301.038569327417,10233.494589585853,10786.356900641693
696,10537.719794723818,10355.033673172444,10284.951806295328,10777.89365659236
697,10602.597033925596,10418.210151737308,10407.499146276848,10808.25886579586
698,10613.36576908608,10429.515364458086,10404.015888676917,10873.398805799185
699,10744.66464735884,10567.9306949786,10475.897662713702,10810.188392781876
700,10907.839917195271,10718.199287824867,10510.730241408703,10805.414515547984
701,10833.633704836537,10645.279428007923,10445.0233339074,10958.722968202546
702,10837.327736647472,10648.102634512816,10527.559591688698,10949.42448063798
703,10972.313487782523,10774.137187755607,10582.004779003364,10876.790832594206
704,10980.586867727365,10781.177836417573,10582.00477908668,10827.04227809797
705,10875.066721242632,10675.04567819295,10504.468636739324,10865.0581865787
706,10933.281037478,10731.674884834956,10576.40938697872,10956.946988653848
707,10926.331767918287,10723.251315184572,10608.542921754137,10867.533495709047
708,10895.371114016129,10692.792620187742,10583.923198227494,10879.63640027256
709,10792.04914226826,10593.658850576345,10486.243645991475,10848.256574240091
710,10842.03796281354,10644.992187560098,10545.394929539629,10782.991295312486
711,10714.733708411834,10516.900187535886,10436.04498878383,10674.371382222158
712,10687.078601618769,10489.04618400826,10415.74171026946,10621.523410327063
713,10737.696705856426,10539.932367284497,10448.994323952877,10619.13001042798
714,10755.50307843724,10556.300135735595,10487.36272394864,10691.608656568456
715,10737.482558889162,10532.025518504059,10462.902868890858,10775.751693710024
